file_name,base_table_id,merged_table_id,ml,cr_used,action,status
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_61,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_68,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_61,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_69,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_61,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_70,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_61,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_71,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_61,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_72,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_61,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_73,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_61,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_74,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_61,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_75,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_61,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_76,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_61,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_77,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_61,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_78,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_61,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_79,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_61,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_80,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_61,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_81,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_83,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_84,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_85,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_86,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_85,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_87,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_88,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_89,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_88,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_90,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_88,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_91,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_88,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_92,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_88,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_93,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_88,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_94,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_88,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_95,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_88,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_96,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_88,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_97,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_98,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_99,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_98,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_100,1,1,merge_first_row_only_drop_intervening_text,merged
2.FCM內控CA---壹、業務及收入循環 ---114.04.md,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_101,2.FCM內控CA---壹、業務及收入循環 ---114.04_table_102,1,1,merge_first_row_only_drop_intervening_text,merged
